         3741936 function calls (3648040 primitive calls) in 2.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.001    0.000    0.066    0.000 protocol.py:207(sequence_command_local)
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      162    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3371    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
     2192    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     3208    0.001    0.000    0.002    0.000 mock.py:298(_get)
     2002    0.001    0.000    0.017    0.000 storage.py:77(base_key)
       24    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
     2406    0.001    0.000    0.001    0.000 mock.py:303(_set)
     3209    0.001    0.000    0.001    0.000 mock.py:2076(__init__)
      866    0.001    0.000    0.002    0.000 protocol.py:159(is_client)
      179    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      193    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      478    0.001    0.000    0.016    0.000 test_protocol.py:47(to_tap_reply)
  671/156    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      400    0.001    0.000    0.095    0.000 protocol.py:198(apply_response_to_executor)
      400    0.001    0.000    0.004    0.000 protocol_messages.py:135(get_json_data_dict)
     3659    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      324    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     5809    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    197/6    0.001    0.000    0.107    0.018 <frozen importlib._bootstrap>:978(_find_and_load)
      687    0.001    0.000    0.002    0.000 executor.py:14(set_origin)
      189    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1071    0.001    0.000    0.001    0.000 typing.py:704(__setattr__)
      800    0.001    0.000    0.001    0.000 executor.py:23(get_dependencies)
       11    0.001    0.000    0.002    0.000 enum.py:135(__new__)
    189/7    0.001    0.000    0.107    0.015 <frozen importlib._bootstrap>:663(_load_unlocked)
      800    0.001    0.000    0.001    0.000 executor.py:27(new_object_versions)
     1374    0.001    0.000    0.001    0.000 libra_address.py:33(equal)
      189    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      144    0.001    0.000    0.002    0.000 typing.py:603(__init__)
   202/49    0.001    0.000    0.011    0.000 sre_parse.py:411(_parse_sub)
      311    0.001    0.000    0.879    0.003 protocol.py:180(pending_responses)
     2319    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      914    0.001    0.000    0.002    0.000 protocol.py:135(next_final_sequence)
     1732    0.001    0.000    0.001    0.000 libra_address.py:27(last_bit)
      800    0.001    0.000    0.001    0.000 executor.py:155(get_context)
      400    0.001    0.000    0.001    0.000 shared_object.py:64(from_json_data_dict)
     4739    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1374    0.000    0.000    0.001    0.000 libra_address.py:37(__eq__)
      996    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1065    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
    197/6    0.000    0.000    0.107    0.018 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      200    0.000    0.000    0.588    0.003 protocol.py:184(process_pending_requests_response)
      811    0.000    0.000    0.000    0.000 mock.py:506(__class__)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
     1369    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      161    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1563    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      856    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    162/7    0.000    0.000    0.107    0.015 <frozen importlib._bootstrap_external>:722(exec_module)
       61    0.000    0.000    0.018    0.000 re.py:271(_compile)
     1368    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      802    0.000    0.000    0.000    0.000 mock.py:519(__get_side_effect)
     1071    0.000    0.000    0.001    0.000 typing.py:590(_is_dunder)
      914    0.000    0.000    0.001    0.000 executor.py:132(next_seq)
      189    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      347    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      222    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
       10    0.000    0.000    0.000    0.000 _make.py:548(_create_slots_class)
      707    0.000    0.000    0.001    0.000 protocol.py:120(other_next_seq)
      507    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      652    0.000    0.000    0.002    0.000 protocol.py:176(is_server)
  189/188    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      802    0.000    0.000    0.001    0.000 mock.py:481(__get_return_value)
       14    0.000    0.000    0.001    0.000 mock.py:1910(_mock_set_magics)
     1140    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
     1412    0.000    0.000    0.000    0.000 libra_address.py:20(plain)
